key	xv_c	xv_p	xvc_c	xvc_p	xviii_c	xviii_p	xix_c	xix_p
1__1-4-6-10	1	0.0109902187054	0	0	0	0	0	0
1-10__1-6-10	1	0.0109902187054	0	0	0	0	0	0
1-10__2-7-9-10	0	0	0	0	0	0	1	0.00345447008429
1-10__3-10	1	0.0109902187054	0	0	0	0	0	0
1-10__3-4-6-10	0	0	0	0	0	0	1	0.00345447008429
1-10__3-6-10	0	0	0	0	0	0	1	0.00345447008429
1-2-10__2-4-6-10	0	0	0	0	0	0	1	0.00345447008429
1-2-10__4-6-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-10__2-4-10	0	0	0	0	0	0	1	0.00345447008429
1-2-3-4-10__2-6-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-5-10__2-6-10	0	0	0	0	0	0	1	0.00345447008429
1-2-3-4-5-6-10__1-2-4-6-10	0	0	0	0	0	0	1	0.00345447008429
1-2-3-4-5-6-10__1-2-6-9-10	0	0	0	0	0	0	1	0.00345447008429
1-2-3-4-5-6-10__2-4-6-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-5-6-10__4-6-7-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-5-6-7-10__2-6-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-5-6-7-8-10__1-2-6-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-5-6-7-8-10__2-4-5-10	1	0.0109902187054	0	0	0	0	0	0
1-2-3-4-5-6-7-8-9-10__2-4-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-5-6-8-10__1-6-9	0	0	0	0	0	0	1	0.00345447008429
1-2-3-4-5-6-8-10__2-3-6-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-5-6-8-10__3-4-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-5-6-8-9-10__3-6-7-8-10	0	0	0	0	0	0	1	0.00345447008429
1-2-3-4-5-6-9-10__2-4-6-10	0	0	0	0	0	0	1	0.00345447008429
1-2-3-4-5-8-10__2-4-6-7-10	0	0	0	0	0	0	1	0.00345447008429
1-2-3-4-5-8-9-10__1-4-6-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-10__1-2-3-6-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-10__1-2-4-6-10	1	0.0109902187054	0	0	0	0	0	0
1-2-3-4-6-10__1-2-4-6-7-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-10__1-2-4-6-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-10__1-2-4-6-9-10	0	0	0	0	1	0.0257267815796	0	0
1-2-3-4-6-10__1-2-6-10	0	0	0	0	0	0	1	0.00345447008429
1-2-3-4-6-10__1-2-6-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-10__1-3-5-7-10	0	0	0	0	1	0.0257267815796	0	0
1-2-3-4-6-10__1-3-6-10	1	0.0109902187054	2	0.00304780481858	0	0	2	0.00690894016858
1-2-3-4-6-10__1-3-6-8-10	0	0	1	0.00152390240929	0	0	1	0.00345447008429
1-2-3-4-6-10__1-3-6-8-9-10	0	0	0	0	0	0	1	0.00345447008429
1-2-3-4-6-10__1-3-7-10	1	0.0109902187054	0	0	0	0	0	0
1-2-3-4-6-10__1-4-6-10	0	0	0	0	0	0	1	0.00345447008429
1-2-3-4-6-10__1-4-6-8-10	0	0	2	0.00304780481858	0	0	0	0
1-2-3-4-6-10__1-4-8-10	0	0	1	0.00152390240929	0	0	1	0.00345447008429
1-2-3-4-6-10__2-10	1	0.0109902187054	0	0	0	0	0	0
1-2-3-4-6-10__2-4-5-6-8-10	1	0.0109902187054	0	0	0	0	0	0
1-2-3-4-6-10__2-4-5-8-10	0	0	0	0	0	0	1	0.00345447008429
1-2-3-4-6-10__2-4-6-10	0	0	2	0.00304780481858	0	0	0	0
1-2-3-4-6-10__2-4-6-7-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-10__2-4-6-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-10__2-4-7-8-10	0	0	0	0	0	0	1	0.00345447008429
1-2-3-4-6-10__2-4-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-10__2-6-10	0	0	2	0.00304780481858	0	0	2	0.00690894016858
1-2-3-4-6-10__3-5-6-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-10__3-6-10	2	0.0219804374107	4	0.00609560963716	0	0	1	0.00345447008429
1-2-3-4-6-10__3-6-7-10	0	0	1	0.00152390240929	0	0	2	0.00690894016858
1-2-3-4-6-10__3-6-7-8-10	0	0	0	0	0	0	1	0.00345447008429
1-2-3-4-6-10__3-6-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-10__4-6-10	0	0	2	0.00304780481858	0	0	3	0.0103634102529
1-2-3-4-6-10__6-10	0	0	2	0.00304780481858	0	0	0	0
1-2-3-4-6-7-10__1-3-6-10	0	0	1	0.00152390240929	0	0	1	0.00345447008429
1-2-3-4-6-7-10__1-4-5-6-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-7-10__1-4-6-10	0	0	0	0	0	0	1	0.00345447008429
1-2-3-4-6-7-10__2-4-6-8-10	0	0	2	0.00304780481858	0	0	0	0
1-2-3-4-6-7-10__2-4-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-7-10__2-5-6-8-9-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-7-10__4-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-7-8-10__2-3-5-7-10	0	0	0	0	0	0	1	0.00345447008429
1-2-3-4-6-7-8-10__2-6-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-7-8-10__3-4-6-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-7-8-10__3-6-9-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-7-8-9-10__1-2-3-4-6-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-7-8-9-10__2-4-6-7-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-7-9-10__2-6-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-8-10__1-2-4-6-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-8-10__1-2-4-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-8-10__1-3-5-6-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-8-10__1-4-6-10	0	0	3	0.00457170722787	0	0	0	0
1-2-3-4-6-8-10__1-4-6-7-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-8-10__1-4-6-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-8-10__2-3-4-5-6-8-10	0	0	1	0.00152390240929	0	0	0	0
1-2-3-4-6-8-10__2-3-4-6-10	0	0	0	0	0	0	1	0.00345447008429
1-2-3-4-6-8-10__2-3-6-10	0	0	0	0	0	0	1	0.00345447008429
