pat	stressed	67	antis	c19	c18	cGA	cAGA	p19	p18	pGA	pAGA	cALL	pALL
3 4 5 6	4	0	3	1	0	0	0	0.0	0	0	0	1	0.0
3 4 5 9	4	0	2	3	0	0	0	0.01	0	0	0	3	0.01
3 4 5 8	4	0	2	2	0	0	0	0.01	0	0	0	2	0.0
4 5 7 9	4	0	1	1	0	0	0	0.0	0	0	0	1	0.0
4 5 7 8	4	0	2	1	0	0	0	0.0	0	0	0	1	0.0
2 3	2	0	1	0	0	1	0	0	0	0.01	0	1	0.0
2 5	2	0	0	1	0	0	0	0.0	0	0	0	1	0.0
2 4	2	0	0	2	0	0	0	0.01	0	0	0	2	0.0
2 7	2	0	0	2	0	1	0	0.01	0	0.01	0	3	0.01
2 6	2	0	0	11	0	6	3	0.03	0	0.06	0.0	17	0.03
2 9	2	0	0	0	0	3	0	0	0	0.03	0	3	0.01
1 3 4 6 7 8	6	1	3	1	0	0	0	0.0	0	0	0	1	0.0
2 3 5 6 9	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
2 3 4 6 7 9	6	1	3	2	0	0	0	0.01	0	0	0	2	0.0
1 3 4 5 8 9 10	7	0	4	0	0	1	0	0	0	0.01	0	1	0.0
1 5 6 7 8 10	6	1	3	3	0	0	2	0.01	0	0	0.0	3	0.01
1 9 10	3	0	1	0	1	0	0	0	0.02	0	0	1	0.0
2 3 6 7 8 9 10	7	1	5	1	0	1	2	0.0	0	0.01	0.0	2	0.0
2 4 6 7 9 10	6	1	2	6	3	1	33	0.02	0.07	0.01	0.05	10	0.02
1 3 5 6 9 10	6	0	2	9	0	5	13	0.03	0	0.05	0.02	14	0.03
4 8 9	3	0	1	2	0	0	0	0.01	0	0	0	2	0.0
1 4 5 8 9 10	6	0	3	0	0	3	4	0	0	0.03	0.01	3	0.01
3 5 6 7 10	5	1	2	27	4	7	25	0.08	0.09	0.07	0.04	38	0.08
1 3 4 6 8 9	6	0	2	1	0	0	0	0.0	0	0	0	1	0.0
3 5 6 9	4	0	1	3	0	0	0	0.01	0	0	0	3	0.01
3 5 6 8	4	0	1	3	0	1	0	0.01	0	0.01	0	4	0.01
3 5 6 7	4	1	2	3	0	0	0	0.01	0	0	0	3	0.01
3 6 10	3	0	0	3540	278	712	5050	10.26	6.22	6.72	7.1	4530	9.14
5 6 7 8 10	5	1	3	1	0	0	2	0.0	0	0	0.0	1	0.0
1 2 4 7 8 10	6	0	2	7	1	3	18	0.02	0.02	0.03	0.03	11	0.02
2 4 8 9	4	0	1	2	0	0	0	0.01	0	0	0	2	0.0
1 3 5 6 8 10	6	0	1	47	4	20	85	0.14	0.09	0.19	0.12	71	0.14
2 4 6 7 8 10	6	1	2	40	8	28	139	0.12	0.18	0.26	0.2	76	0.15
1 2 4 6 7 10	6	1	2	41	4	20	97	0.12	0.09	0.19	0.14	65	0.13
1 8 9 10	4	0	2	4	0	0	0	0.01	0	0	0	4	0.01
1 3 5 6 8 9 10	7	0	3	3	0	2	4	0.01	0	0.02	0.01	5	0.01
1 8 10	3	0	0	24	2	3	12	0.07	0.04	0.03	0.02	29	0.06
1 4 5 6 8 10	6	0	2	27	1	16	55	0.08	0.02	0.15	0.08	44	0.09
1 2 3 5 7 8 10	7	0	3	2	1	1	0	0.01	0.02	0.01	0	4	0.01
1 3 4 5 6 7 8 10	8	1	5	2	0	0	0	0.01	0	0	0	2	0.0
1 4 7 8 9	5	0	2	0	0	1	0	0	0	0.01	0	1	0.0
3 5 6 8 9 10	6	0	3	6	0	2	7	0.02	0	0.02	0.01	8	0.02
1 5 6 8 9	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
4 6 9 10	4	0	1	81	12	42	190	0.23	0.27	0.4	0.27	135	0.27
1 5 6 7 9	5	1	2	1	0	0	0	0.0	0	0	0	1	0.0
1 3 10	3	0	0	9	1	3	6	0.03	0.02	0.03	0.01	13	0.03
2 4 6 10	4	0	0	1322	238	633	4375	3.83	5.32	5.97	6.15	2193	4.42
1 3 4 6 7 8 9 10	8	1	5	0	0	0	2	0	0	0	0.0	0	0.0
1 2 3 4 6 8 10	7	0	3	7	1	0	28	0.02	0.02	0	0.04	8	0.02
2 5 7 9	4	0	0	6	0	0	1	0.02	0	0	0.0	6	0.01
5 7 8	3	0	1	1	0	0	0	0.0	0	0	0	1	0.0
1 3 7 9 10	5	0	1	6	1	2	1	0.02	0.02	0.02	0.0	9	0.02
1 4 9 10	4	0	1	5	0	5	10	0.01	0	0.05	0.01	10	0.02
1 4 8 10	4	0	0	1739	184	335	2783	5.04	4.12	3.16	3.92	2258	4.56
2 6 7 8 9 10	6	1	4	4	1	5	3	0.01	0.02	0.05	0.0	10	0.02
1 3 7 8 10	5	0	1	7	0	1	0	0.02	0	0.01	0	8	0.02
2 3 6 7 8 9	6	1	4	1	0	0	0	0.0	0	0	0	1	0.0
1 4 5 9	4	0	1	3	0	0	0	0.01	0	0	0	3	0.01
1 4 5 8	4	0	1	5	0	0	0	0.01	0	0	0	5	0.01
2 4 7 10	4	0	0	73	10	18	117	0.21	0.22	0.17	0.16	101	0.2
3 7 10	3	0	0	47	5	12	42	0.14	0.11	0.11	0.06	64	0.13
1 3 5 7 8 9	6	0	2	1	0	0	0	0.0	0	0	0	1	0.0
1 4 5 7 8 9 10	7	0	4	0	0	1	0	0	0	0.01	0	1	0.0
2 7 9 10	4	0	1	4	0	1	1	0.01	0	0.01	0.0	5	0.01
3 5 9 10	4	0	1	7	1	2	0	0.02	0.02	0.02	0	10	0.02
1 4 6 7 10	5	1	1	92	19	41	315	0.27	0.43	0.39	0.44	152	0.31
1 5 9	3	0	0	5	0	1	3	0.01	0	0.01	0.0	6	0.01
1 5 8	3	0	0	4	0	0	0	0.01	0	0	0	4	0.01
1 3 6 9	4	0	0	17	2	1	0	0.05	0.04	0.01	0	20	0.04
1 3 6 8	4	0	0	8	0	0	0	0.02	0	0	0	8	0.02
2 3 5 6 7 8	6	1	4	0	0	0	1	0	0	0	0.0	0	0.0
1 2 4 5 6 10	6	0	3	13	3	6	49	0.04	0.07	0.06	0.07	22	0.04
1 3 6 7	4	1	1	1	0	0	0	0.0	0	0	0	1	0.0
1 5 7	3	0	0	1	1	0	0	0.0	0.02	0	0	2	0.0
1 5 6	3	0	1	2	0	0	0	0.01	0	0	0	2	0.0
3 4 5 6 9 10	6	0	4	2	0	0	2	0.01	0	0	0.0	2	0.0
1 4 5 8 10	5	0	1	69	8	16	82	0.2	0.18	0.15	0.12	93	0.19
1 2 3 6 9	5	0	2	2	0	0	0	0.01	0	0	0	2	0.0
1 2 3 6 8	5	0	2	2	0	0	0	0.01	0	0	0	2	0.0
1 3 8 9	4	0	1	1	0	0	0	0.0	0	0	0	1	0.0
1 2 4 7 9 10	6	0	2	2	0	4	1	0.01	0	0.04	0.0	6	0.01
6 9 10	3	0	1	14	2	8	41	0.04	0.04	0.08	0.06	24	0.05
1 4 6 9	4	0	0	10	0	0	0	0.03	0	0	0	10	0.02
5 8	2	0	0	1	0	0	0	0.0	0	0	0	1	0.0
5 9	2	0	0	6	0	1	1	0.02	0	0.01	0.0	7	0.01
5 6	2	0	1	0	0	0	1	0	0	0	0.0	0	0.0
5 7	2	0	0	1	0	0	0	0.0	0	0	0	1	0.0
6 8 10	3	0	0	111	17	92	483	0.32	0.38	0.87	0.68	220	0.44
8 10	2	0	0	17	1	9	0	0.05	0.02	0.08	0	27	0.05
1 2 3 4 5 8 10	7	0	4	1	0	0	0	0.0	0	0	0	1	0.0
1 3 5 7 10	5	0	0	22	4	7	5	0.06	0.09	0.07	0.01	33	0.07
1 6 7 10	4	1	1	95	11	32	221	0.28	0.25	0.3	0.31	138	0.28
1 2 3 4 5 6 7 8 9 10	10	1	9	0	0	0	1	0	0	0	0.0	0	0.0
2 4 8 9 10	5	0	2	154	25	30	122	0.45	0.56	0.28	0.17	209	0.42
3 5 6 7 9 10	6	1	3	0	0	1	0	0	0	0.01	0	1	0.0
